,,,,,,,
,,,,,,,
,,,,,,,
CVE_ENT,Entidad federativa,Gran sector y tamaño del establecimiento,Población inicial1,Nacimientos2,Muertes2,Población actual2,
23,Quintana Roo,PyME´s, 2 866,  65, 1 184, 1 748,
24,San Luis Potosí,Total, 113 390, 16 017, 24 392, 105 016,
24,San Luis Potosí,Micro, 110 641, 15 974, 23 932, 102 682,
24,San Luis Potosí,PyME´s, 2 749,  43,  459, 2 333,
24,San Luis Potosí,Manufacturas, 9 874, 1 103, 1 713, 9 264,
24,San Luis Potosí,Micro, 9 542, 1 103, 1 691, 8 954,
24,San Luis Potosí,PyME´s,  332,  0,  22,  310,
24,San Luis Potosí,Comercio, 55 090, 7 688, 10 560, 52 218,
24,San Luis Potosí,Micro, 54 033, 7 675, 10 417, 51 291,
24,San Luis Potosí,PyME´s, 1 058,  13,  144,  927,
24,San Luis Potosí,Servicios Privados no Financieros, 48 426, 7 226, 12 118, 43 534,
24,San Luis Potosí,Micro, 47 066, 7 196, 11 824, 42 438,
24,San Luis Potosí,PyME´s, 1 360,  31,  294, 1 096,
25,Sinaloa,Total, 109 630, 10 565, 30 372, 89 823,
25,Sinaloa,Micro, 104 334, 10 354, 28 802, 85 886,
25,Sinaloa,PyME´s, 5 296,  211, 1 570, 3 937,
25,Sinaloa,Manufacturas, 11 985,  760, 2 390, 10 355,
25,Sinaloa,Micro, 11 496,  760, 2 301, 9 955,
25,Sinaloa,PyME´s,  488,  0,  88,  400,
25,Sinaloa,Comercio, 45 959, 4 875, 10 789, 40 046,
25,Sinaloa,Micro, 43 865, 4 782, 10 310, 38 337,
25,Sinaloa,PyME´s, 2 094,  93,  479, 1 708,
25,Sinaloa,Servicios Privados no Financieros, 51 686, 4 930, 17 194, 39 422,
25,Sinaloa,Micro, 48 973, 4 811, 16 191, 37 593,
25,Sinaloa,PyME´s, 2 713,  118, 1 003, 1 829,
26,Sonora,Total, 89 756, 7 879, 20 664, 76 971,
26,Sonora,Micro, 84 205, 7 772, 19 529, 72 447,
26,Sonora,PyME´s, 5 552,  107, 1 135, 4 524,
26,Sonora,Manufacturas, 11 789, 1 080, 2 471, 10 398,
26,Sonora,Micro, 11 273, 1 070, 2 401, 9 943,
26,Sonora,PyME´s,  516,  10,  71,  455,
26,Sonora,Comercio, 36 077, 3 079, 7 533, 31 623,
26,Sonora,Micro, 33 814, 3 015, 7 200, 29 630,
26,Sonora,PyME´s, 2 263,  64,  333, 1 993,
26,Sonora,Servicios Privados no Financieros, 41 890, 3 720, 10 660, 34 950,
26,Sonora,Micro, 39 117, 3 686, 9 929, 32 875,
26,Sonora,PyME´s, 2 773,  34,  731, 2 076,
27,Tabasco,Total, 72 746, 9 952, 17 527, 65 172,
27,Tabasco,Micro, 70 260, 9 852, 16 933, 63 179,
27,Tabasco,PyME´s, 2 487,  100,  594, 1 993,
27,Tabasco,Manufacturas, 9 490, 1 005, 1 617, 8 877,
27,Tabasco,Micro, 9 312,  986, 1 581, 8 718,
27,Tabasco,PyME´s,  177,  18,  37,  159,
27,Tabasco,Comercio, 30 164, 5 290, 6 767, 28 687,
27,Tabasco,Micro, 28 938, 5 263, 6 506, 27 695,
27,Tabasco,PyME´s, 1 225,  27,  261,  992,
27,Tabasco,Servicios Privados no Financieros, 33 093, 3 657, 9 143, 27 608,
27,Tabasco,Micro, 32 009, 3 603, 8 846, 26 766,
27,Tabasco,PyME´s, 1 084,  55,  296,  842,
28,Tamaulipas,Total, 109 164, 9 282, 29 047, 89 398,
28,Tamaulipas,Micro, 104 083, 9 176, 27 899, 85 360,
28,Tamaulipas,PyME´s, 5 081,  106, 1 148, 4 039,
28,Tamaulipas,Manufacturas, 8 862,  802, 2 050, 7 615,
28,Tamaulipas,Micro, 8 425,  802, 2 011, 7 216,
28,Tamaulipas,PyME´s,  437,  0,  39,  399,
28,Tamaulipas,Comercio, 47 176, 3 947, 11 397, 39 726,
28,Tamaulipas,Micro, 45 390, 3 874, 11 102, 38 162,
28,Tamaulipas,PyME´s, 1 785,  73,  295, 1 564,
28,Tamaulipas,Servicios Privados no Financieros, 53 126, 4 532, 15 600, 42 058,
28,Tamaulipas,Micro, 50 268, 4 500, 14 786, 39 982,
28,Tamaulipas,PyME´s, 2 858,  32,  814, 2 076,
29,Tlaxcala,Total, 86 766, 16 758, 19 732, 83 792,
29,Tlaxcala,Micro, 85 742, 16 727, 19 525, 82 944,
29,Tlaxcala,PyME´s, 1 024,  31,  207,  848,
29,Tlaxcala,Manufacturas, 13 384, 2 527, 2 756, 13 155,
29,Tlaxcala,Micro, 13 124, 2 509, 2 736, 12 897,
29,Tlaxcala,PyME´s,  259,  19,  20,  258,
29,Tlaxcala,Comercio, 45 077, 9 176, 8 848, 45 406,
29,Tlaxcala,Micro, 44 817, 9 164, 8 810, 45 170,
29,Tlaxcala,PyME´s,  260,  13,  37,  235,
29,Tlaxcala,Servicios Privados no Financieros, 28 305, 5 055, 8 128, 25 231,
29,Tlaxcala,Micro, 27 801, 5 055, 7 979, 24 876,
29,Tlaxcala,PyME´s,  504,  0,  149,  355,
30,Veracruz,Total, 280 619, 44 439, 54 557, 270 501,
30,Veracruz,Micro, 273 487, 44 391, 52 631, 265 246,
30,Veracruz,PyME´s, 7 132,  49, 1 926, 5 255,
30,Veracruz,Manufacturas, 28 091, 2 965, 4 521, 26 535,
30,Veracruz,Micro, 27 656, 2 965, 4 401, 26 219,
30,Veracruz,PyME´s,  435,  0,  120,  315,
30,Veracruz,Comercio, 130 497, 22 232, 22 138, 130 590,
30,Veracruz,Micro, 127 654, 22 183, 21 641, 128 195,
30,Veracruz,PyME´s, 2 843,  49,  497, 2 395,
30,Veracruz,Servicios Privados no Financieros, 122 031, 19 243, 27 898, 113 377,
30,Veracruz,Micro, 118 178, 19 243, 26 589, 110 832,
30,Veracruz,PyME´s, 3 854,  0, 1 309, 2 545,
31,Yucatán,Total, 120 518, 13 129, 23 608, 110 038,
31,Yucatán,Micro, 116 928, 12 984, 22 890, 107 023,
31,Yucatán,PyME´s, 3 589,  145,  718, 3 016,
31,Yucatán,Manufacturas, 30 190, 1 384, 2 796, 28 778,
31,Yucatán,Micro, 29 523, 1 364, 2 759, 28 129,
31,Yucatán,PyME´s,  667,  19,  37,  649,
